Thu Nov 21 19:50:32 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:50:37 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:50:41 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:50:46 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:50:51 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:52:45 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:53:39 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:53:43 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:53:48 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:53:54 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:54:03 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:54:08 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:54:15 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:54:20 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:54:26 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Thu Nov 21 19:54:31 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Sat Nov 23 19:00:00 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Sat Nov 23 19:02:34 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Sat Nov 23 19:02:43 2024: Latitude: -33.8684321, Longitude: 151.2164881, Address: Step up and Speak Your Mind, Art Gallery Road, Quay Quarter, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia
Sat Nov 23 19:04:32 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 19:06:11 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 19:39:06 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 19:39:21 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 19:58:10 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 19:58:40 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 19:59:10 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 19:59:42 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:00:50 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:09:53 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:09:58 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:08 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:13 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:15 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:18 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:21 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:24 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:26 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:29 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:38 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:10:43 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:35 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:36 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:37 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:38 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:39 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:46 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:48 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:49 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:50 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:51 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:52 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:53 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:54 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:55 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:15:56 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
